Order_ID,Order_Date,Customer_Name,Customer_Age,City,Product,Category,Quantity,Unit_Price,Discount_Percent,Payment_Method,Total_Amount
ORD1001,2025-05-06,Sneha,32.0,Satara,Mouse,Electronics,1.0,650,,card,
ORD1002,2025-01-17,Aarav,42.0,Pune,Mouse,Electronics,2.0,650,15.0,Card,1105.0
ORD1003,2025-11-29,Vikram,28.0,Kolhapur,Monitor,Electronics,1.0,12500,15.0,Net Banking,10625.0
ORD1004,2025-12-24,Vikram,24.0,Nagpur,Backpack,Accessories,5.0,2200,0.0,Cash,11000.0
ORD1005,2025-02-17,Vikram,21.0,Pune,Keyboard,Electronics,4.0,1200,5.0,Cash,4560.0
ORD1006,2025-10-02,Priya,50.0,Mumbai ,Office Chair,Furniture,5.0,8500,0.0,UPI,42500.0
ORD1007,2025-10-23,Sneha,36.0,Pune,Pen Set,Stationery,5.0,150,,UPI,
ORD1008,2025-02-21,Vikram,28.0,,Monitor,Electronics,5.0,12500,0.0,Net Banking,62500.0
ORD1009,2025-04-18,Om,36.0,Pune,Office Chair,Furniture,3.0,8500,5.0,upi,24225.0
ORD1010,2025-07-14,Om,50.0,Kolhapur,Keyboard,Electronics,4.0,1200,0.0,card,4800.0
ORD1011,2025-06-11,Vikram,18.0,Nashik,Office Chair,Furniture,1.0,8500,0.0,UPI,8500.0
ORD1012,2025-07-22,Isha,50.0,Satara,Monitor,Electronics,6.0,12500,0.0,Cash,75000.0
ORD1013,2025-10-03,Om,,Mumbai ,Keyboard,Electronics,4.0,1200,,upi,
ORD1014,2025-09-18,Isha,24.0,Pune,Desk,Furniture,6.0,7000,0.0,UPI,42000.0
ORD1015,2025-12-15,Vikram,24.0,Pune,Mouse,Electronics,3.0,650,,Net Banking,
ORD1016,2025-10-11,Aarav,32.0,Pune,Desk,Furniture,8.0,7000,15.0,card,47600.0
ORD1017,2025-02-27,Om,36.0,Mumbai ,Pen Set,Stationery,5.0,150,,Card,
ORD1018,2025-09-14,Rahul,32.0,Pune,Notebook,Stationery,1.0,80,,card,
ORD1019,2025-03-24,Aarav,36.0,Nagpur,laptop,Electronics,4.0,1800,0.0,Net Banking,7200.0
